site	lambda	dnds
1	1.9697521267	0.0136810522193
2	1.7304178128	0.0205770328446
3	1.95747403096	0.0139692442268
4	1.95229694183	0.0140926046061
5	1.82670113006	0.0174517248793
6	1.26866313236	0.0462314651576
7	2.06467538545	0.0116471099696
8	1.34341411707	0.0404306946437
9	2.07749504267	0.0113969312801
10	1.60342382421	0.0256117048227
11	1.002175805	0.0756055511533
12	1.20211668244	0.0521604635338
13	1.08178532546	0.0651075075251
14	0.941427829513	0.0848854153203
15	0.944024016902	0.0844637146375
16	0.877034499074	0.0961431646806
17	1.11474680329	0.0612414643505
18	1.1670950086	0.0556100525931
19	0.93338100569	0.0862075488632
20	1.03917830965	0.0705095389204
21	0.747520362805	0.124387415235
22	0.775426163124	0.11756001767
23	0.80251392517	0.111352552078
24	0.8363690859	0.104123558703
25	0.715266722701	0.132882064954
26	0.83679240554	0.104036665114
27	0.718510457204	0.131996472175
28	0.68593392408	0.141233574433
29	0.78237665892	0.11592927645
30	0.714662931073	0.133047713953
31	0.653092908902	0.151384490649
32	0.633954657277	0.157737037041
33	0.546961455344	0.191685003172
34	0.606854719491	0.167352408068
35	0.656710327849	0.150221470534
36	0.53257219143	0.198286974242
37	0.648262994107	0.152955624929
38	0.637757916246	0.156447137249
39	0.536118219832	0.196629083562
40	0.539842472595	0.194909946021
41	0.497257625238	0.216016698345
42	0.496711510951	0.216309702683
43	0.445245611287	0.247011318883
44	0.501376855434	0.213826287213
45	0.446183517691	0.246390902347
46	0.456339225589	0.239830378621
47	0.48718038004	0.221524601433
48	0.518291061758	0.205180497037
49	0.494891783184	0.217290497261
50	0.528311855513	0.200306564768
51	0.437271219159	0.252389723603
52	0.420054063185	0.264669822546
53	0.440707181125	0.250049347674
54	0.435347248119	0.253715727941
55	0.423716826736	0.261977337087
56	0.433252268196	0.255172457473
57	0.437608467226	0.252158446052
58	0.433106276941	0.255274475863
59	0.440763402214	0.250011345003
60	0.401449309954	0.279067092806
61	0.32873963555	0.349486392888
62	0.342522400957	0.334125081172
63	0.330297880939	0.347696042856
64	0.350339784745	0.325871466848
65	0.341749499407	0.334958746813
66	0.337500040055	0.33960029875
67	0.351116451249	0.325068887209
68	0.343093022556	0.333511661338
69	0.372347119056	0.304283554783
70	0.360412908121	0.315698744763
71	0.289297820918	0.399764633165
72	0.307934026467	0.374778522869
73	0.322572547016	0.356710829294
74	0.296254298259	0.390168495205
75	0.294500109083	0.39255754962
76	0.314819915607	0.366114909495
77	0.325191039413	0.353616108085
78	0.321494218574	0.357997120175
79	0.321720429342	0.357726707267
80	0.326063609785	0.352593827157
81	0.28162361774	0.41073502851
82	0.275292491258	0.420095658987
83	0.256338348399	0.449843676315
84	0.269579190857	0.428787965834
85	0.284033890026	0.407245508543
86	0.275949894645	0.419110466605
87	0.275705398714	0.419476511497
88	0.275709398893	0.419470519239
89	0.260156118396	0.443640851359
90	0.268164932907	0.430975942082
91	0.245979223285	0.467217508132
92	0.256106600321	0.450223662852
93	0.230772452056	0.494163521692
94	0.233470884252	0.489257177226
95	0.255406971533	0.451373218183
96	0.255405037056	0.451376401723
97	0.236637579192	0.483567884685
98	0.229439962771	0.496606005936
99	0.233152681259	0.4898329533
100	0.254603654194	0.452697605086
101	0.208540649698	0.536585464879
102	0.225035522053	0.504771743683
103	0.203893739386	0.545887249873
104	0.211270206549	0.531189621422
105	0.218901634641	0.516377657571
106	0.221475082416	0.511475548514
107	0.226896997342	0.501303366711
108	0.215673796836	0.522592817155
109	0.224509647613	0.505756129394
110	0.226827854989	0.501431745087
111	0.182182078996	0.591143247865
112	0.19365538722	0.566875781448
113	0.196573778177	0.560825951001
114	0.178227662656	0.599672812971
115	0.182703614691	0.590024319263
116	0.184985749946	0.585145155845
117	0.179889123749	0.596079426679
118	0.188100795289	0.578531275992
119	0.196094669329	0.56181555366
120	0.201692725143	0.550342906785
121	0.160918545621	0.637835542061
122	0.164142473556	0.630638797859
123	0.16754610491	0.623080767459
124	0.17226008481	0.612688391791
125	0.172954219597	0.611166068668
126	0.169107590796	0.619628217364
127	0.161032179586	0.637581296587
128	0.155525426454	0.649945970296
129	0.1647684233	0.629245631199
130	0.166680297624	0.624999245629
131	0.150445392167	0.66142018695
