ObservedSChanges	ObservedNSChanges	E[SSites]	E[NSSites]	ObservedS.Prop.	P{S}	dS	dN	dN-dS	P{Sleq.observed}	P{Sgeq.observed}	ScaleddN-dS	pvalue
525	11	0.99798	2.0019	0.979478	0.332673	526.062	5.49477	-520.568	1	-3.33067e-14	-2.60666	1
519	19	0.991331	2.00806	0.964684	0.33051	523.539	9.46185	-514.077	1	-2.66454e-15	-2.57416	1
354	0	0.579282	2.24959	1	0.204775	611.101	0	-611.101	1	5.77316e-15	-3.05999	1
519.5	16.5	0.996224	2.00374	0.969216	0.332078	521.469	8.23459	-513.234	1	-2.84217e-14	-2.56994	1
492	12	0.996396	2.00345	0.97619	0.332149	493.78	5.98968	-487.79	1	-4.21885e-14	-2.44253	1
511.5	19.5	0.997775	2.00151	0.963277	0.332671	512.641	9.74265	-502.898	1	2.14273e-14	-2.51818	1
518	8	0.999174	2.00055	0.984791	0.333089	518.428	3.99891	-514.429	1	-2.9754e-14	-2.57592	1
488.5	28.5	0.993493	2.00406	0.944874	0.331435	491.699	14.2211	-477.478	1	-2.9976e-14	-2.3909	1
505	21	0.990939	2.00878	0.960076	0.330344	509.618	10.4541	-499.164	1	-3.64153e-14	-2.49948	1
344	3	0.579282	2.25002	0.991354	0.204744	593.838	1.33332	-592.505	1	-8.65974e-15	-2.96688	1
318.5	79.5	0.572141	2.27665	0.800251	0.200836	556.681	34.9197	-521.761	1	-2.95319e-14	-2.61264	1
313	20	0.580556	2.25068	0.93994	0.205054	539.138	8.88619	-530.252	1	1.43219e-14	-2.65515	1
315	37	0.581289	2.25725	0.894886	0.204785	541.899	16.3916	-525.507	1	1.77636e-15	-2.63139	1
458.5	77.5	0.963756	2.03526	0.85541	0.321358	475.743	38.0787	-437.664	1	-1.37668e-14	-2.19153	1
485.5	56.5	0.985614	2.01334	0.895756	0.328653	492.586	28.0629	-464.523	1	4.10783e-15	-2.32603	1
491.5	82.5	0.973918	2.02119	0.856272	0.325169	504.663	40.8175	-463.845	1	-4.88498e-15	-2.32263	1
491.5	33.5	0.989068	2.01021	0.93619	0.329769	496.933	16.665	-480.268	1	-1.55431e-15	-2.40486	1
486	34	0.986592	2.01079	0.934615	0.329151	492.605	16.9087	-475.696	1	3.15303e-14	-2.38197	1
482	43	0.990319	2.00812	0.918095	0.330278	486.712	21.413	-465.299	1	3.25295e-14	-2.32991	1
488	55	0.9792	2.01907	0.898711	0.326588	498.366	27.2402	-471.126	1	-5.55112e-15	-2.35909	1
476.25	100.75	0.971979	2.01722	0.82539	0.325164	489.98	49.9451	-440.035	1	-1.11022e-14	-2.20341	1
327.5	366.5	0.722979	2.19001	0.471902	0.248191	452.987	167.351	-285.636	1	4.10783e-14	-1.43028	1
476.5	81.5	0.979131	2.019	0.853943	0.32658	486.656	40.3665	-446.289	1	-2.15383e-14	-2.23472	1
455.5	65.5	0.984381	2.01411	0.87428	0.328292	462.727	32.5205	-430.207	1	-3.28626e-14	-2.15419	1
389.333	225.667	0.868065	2.07906	0.633062	0.294546	448.507	108.543	-339.965	1	3.14193e-14	-1.70232	1
463.5	81.5	0.944848	2.04687	0.850459	0.315821	490.555	39.8169	-450.738	1	-1.73195e-14	-2.257	1
291	45	0.582171	2.25138	0.866071	0.205456	499.853	19.9877	-479.866	1	9.21485e-15	-2.40285	1
316	40	0.580909	2.25463	0.88764	0.204867	543.975	17.7412	-526.234	1	-1.66533e-14	-2.63503	1
459	95	0.983304	2.00912	0.82852	0.328597	466.794	47.2843	-419.509	1	-2.33147e-14	-2.10063	1
292	56	0.582562	2.26031	0.83908	0.20492	501.234	24.7753	-476.459	1	-2.53131e-14	-2.38579	1
