ObservedSChanges	ObservedNSChanges	E[SSites]	E[NSSites]	ObservedS.Prop.	P{S}	dS	dN	dN-dS	P{Sleq.observed}	P{Sgeq.observed}	ScaleddN-dS	pvalue
98.5	33.5	0.889953	2.10058	0.746212	0.29759	110.68	15.948	-94.732	1	-7.32747e-15	-1.92183	1
116	5	0.995059	2.00479	0.958678	0.331703	116.576	2.49402	-114.082	1	-3.33067e-15	-2.31438	1
130	0	1	2	1	0.333333	130	0	-130	1	-8.65974e-15	-2.63731	1
126	2	0.999649	2.00025	0.984375	0.333228	126.044	0.999875	-125.044	1	1.9984e-15	-2.53677	1
134	3	0.999306	2.00069	0.978102	0.333102	134.093	1.49948	-132.594	1	5.10703e-15	-2.68992	1
139	9	0.987176	2.0094	0.939189	0.329434	140.806	4.47894	-136.327	1	-5.10703e-15	-2.76566	1
110	1	0.999734	2.00027	0.990991	0.333245	110.029	0.499934	-109.529	1	-7.32747e-15	-2.22202	1
128.5	9.5	0.993065	2.00633	0.931159	0.331088	129.397	4.73501	-124.662	1	-9.54792e-15	-2.52902	1
130	1	0.999773	2.00023	0.992366	0.333258	130.03	0.499943	-129.53	1	1.77636e-15	-2.62777	1
79	1	0.603904	2.2388	0.9875	0.21244	130.815	0.446668	-130.369	1	-4.44089e-16	-2.64479	1
86	4	0.603904	2.24085	0.955556	0.212287	142.407	1.78504	-140.622	1	-1.77636e-15	-2.85279	1
126	10	0.99424	2.0052	0.926471	0.331476	126.73	4.98704	-121.743	1	5.77316e-15	-2.4698	1
134	14	0.980043	2.01838	0.905405	0.326853	136.729	6.93627	-129.792	1	1.11022e-16	-2.6331	1
81.5	78.5	0.688806	2.30213	0.509375	0.230298	118.321	34.0988	-84.2219	1	1.73195e-14	-1.70861	1
106.5	27.5	0.967676	2.02778	0.794776	0.323048	110.057	13.5616	-96.4959	1	-5.10703e-15	-1.95761	1
107	12	0.985621	2.01411	0.89916	0.32857	108.561	5.95798	-102.603	1	-5.9952e-15	-2.08151	1
114.5	5.5	0.995312	2.00342	0.954167	0.33191	115.039	2.7453	-112.294	1	2.22045e-15	-2.27811	1
131.5	4.5	0.996742	2.00313	0.966912	0.332261	131.93	2.24648	-129.683	1	-3.77476e-15	-2.63089	1
78.5	13.5	0.608213	2.24065	0.853261	0.213494	129.067	6.02505	-123.042	1	-3.9968e-15	-2.49614	1
77.5	73.5	0.686923	2.29422	0.513245	0.230422	112.822	32.037	-80.785	1	5.61773e-14	-1.63888	1
97.5	52.5	0.901442	2.0575	0.65	0.30465	108.16	25.5164	-82.6437	1	-8.65974e-15	-1.67659	1
108	24	0.911373	2.08668	0.818182	0.303989	118.503	11.5016	-107.001	1	9.76996e-15	-2.17073	1
83.5	86.5	0.678157	2.27444	0.491176	0.229681	123.128	38.0313	-85.0965	1	1.06137e-13	-1.72635	1
101.5	22.5	0.976812	2.01376	0.818548	0.32663	103.909	11.1731	-92.7364	1	7.77156e-16	-1.88134	1
70	20	0.605716	2.26194	0.777778	0.211223	115.566	8.84196	-106.724	1	-3.77476e-15	-2.1651	1
